depth,permeability,porosity,Pozo
7238.5,31.4701,0.1021,well1
7239.0,43.2206,0.1087,well1
7239.5,51.9764,112,well1
7240.0,59.3179,0.1153,well1
7240.5,58.5971,0.1144,well1
7241.0,63881,0.1135,well1
7241.5,104.1266,0.1257,well1
7242.0,277.08,0.1379,well1
7242.5,1041.3669,0.1717,well1
7243.0,3532.7065,0.2054,well1
7243.5,5077.9058,0.2122,well1
7244.0,6244.8579,0.2189,well1
7244.5,5082.0596,0.2122,well1
7245.0,3905.5181,0.2056,well1
7245.5,3474.6116,0.2035,well1
7246.0,3278.4529,0.2015,well1
7246.5,3851.5991,0.2058,well1
7247.0,4646.0044,0.2102,well1
7247.5,5740458,0.2151,well1
7248.0,6911835,0.2201,well1
7248.5,6038.1895,0.2164,well1
7249.0,5150.7461,0.2126,well1
7249.5,5371.6069,0.2137,well1
7250.0,5651.9951,0.2149,well1
7250.5,5327.3271,0.2135,well1
7251.0,5055.4731,0.2121,well1
7251.5,6075.7847,0.2165,well1
7252.0,7155.4097,0.2208,well1
7252.5,6648542,0.2187,well1
7253.0,6245022,0.2165,well1
7253.5,7878769,0.2225,well1
7254.0,9821.0303,0.2285,well1
7254.5,10046.2861,0.2285,well1
7255.0,9926.2988,0.2285,well1
7255.5,9086.7012,0.2261,well1
7256.0,8636.0283,0.2237,well1
7256.5,10626.8799,0.2297,well1
7257.0,12689.9961,0.2358,well1
7257.5,10359.0762,0.2291,well1
7258.0,7885.5361,0.2225,well1
7258.5,5878.6289,0.2157,well1
7259.0,4632.2729,0.2089,well1
7259.5,4473.4897,0.2094,well1
7260.0,4706.1797,0.2098,well1
7260.5,5581.0864,0.2146,well1
7261.0,6693.8052,0.2194,well1
7261.5,7199.7788,0.2206,well1
7262.0,7440.1147,0.2217,well1
7262.5,7233.6299,0.2207,well1
7263.0,7124.2603,0.2197,well1
7263.5,7887.3926,0.2227,well1
7264.0,9010.7695,0.2258,well1
7264.5,10326.6611,0.2291,well1
7265.0,11504.46,0.2324,well1
7265.5,10887.4023,0.2304,well1
7266.0,10286.4619,0.2284,well1
7266.5,11616.1172,0.2319,well1
7267.0,13485.9355,0.2354,well1
7267.5,16053.8164,0.2396,well1
7268.0,18720.6465,0.2438,well1
7268.5,18043.2969,0.2425,well1
7269.0,16833502,0.2413,well1
7269.5,10891.5293,0.2295,well1
7270.0,6393.8174,0.2177,well1
7270.5,3245.4292,0.1997,well1
7271.0,1344.1174,0.1816,well1
7271.5,442.8122,0.1495,well1
7272.0,77822,0.1173,well1
7272.5,116.9927,0.1277,well1
7273.0,182.8655,138,well1
7273.5,228.1902,0.1423,well1
7274.0,267.7212,0.1467,well1
7274.5,202.8974,0.1396,well1
7275.0,157.2891,0.1324,well1
7275.5,237.3638,0.1426,well1
7276.0,442565,0.1528,well1
7276.5,1243.8243,0.1768,well1
7277.0,3096769,0.2008,well1
7277.5,5130.3589,212,well1
7278.0,7770.7251,0.2233,well1
7278.5,9008.4424,0.2258,well1
7279.0,9306752,0.2284,well1
7279.5,6437.3433,0.2176,well1
7280.0,4251833,0.2069,well1
7280.5,3054.0505,0.2004,well1
7281.0,2355.3867,194,well1
7281.5,1850.4382,0.1889,well1
7282.0,1606.9171,0.1839,well1
7282.5,1867.3253,189,well1
7283.0,2057.9485,0.1942,well1
7283.5,1077.2197,0.1755,well1
7284.0,527.9212,0.1568,well1
7284.5,398439,0.1544,well1
7285.0,466.8041,0.1519,well1
7285.5,1253.6105,177,well1
7286.0,2771.4744,0.2021,well1
7286.5,1615936,0.1839,well1
7287.0,758.2307,0.1657,well1
7287.5,609.6515,0.1636,well1
7288.0,741.6899,0.1615,well1
7288.5,3339.6868,0.1953,well1
7289.0,10197.8457,229,well1
7289.5,17475.3711,0.2408,well1
7290.0,20000.0,0.2525,well1
7290.5,20000.0,246,well1
7291.0,15928.3818,0.2394,well1
7291.5,10930.04,0.2296,well1
7292.0,7088.6694,0.2199,well1
7292.5,2017.6311,0.1791,well1
7293.0,225.9794,0.1384,well1
7293.5,41.1969,0.0883,well1
7294.0,1.6041,0.0383,well1
7294.5,1.4519,0.0462,well1
7295.0,3.3631,0.0643,well1
7295.5,1.5844,0.0493,well1
7296.0,0.65,0.0366,well1
7296.5,2.2485,0.0604,well1
7297.0,1593,0.0151,well1
7297.5,7.9579,0.0796,well1
7298.0,6.0246,0.0699,well1
7298.5,5.9573,0.0716,well1
7299.0,6.0148,0.0733,well1
7299.5,3.6227,0.0627,well1
7300.0,3.5407,0.0608,well1
7300.5,6.0502,0.0717,well1
7301.0,9.0851,0.0827,well1
7301.5,3.2078,0.0611,well1
7302.0,0.5774,0.0275,well1
7302.5,0.0018,0.0131,well1
7303.0,0.0001,0.0056,well1
7303.5,0.0001,0.0052,well1
7304.0,0.0002,0.0048,well1
7304.5,0.0079,0.0125,well1
7305.0,1.7636,0.0285,well1
7305.5,9.1301,0.0824,well1
7306.0,1.7481,0.0231,well1
7306.5,0.6139,0.0371,well1
7307.0,1.4375,0.0511,well1
7307.5,1.5433,0.0508,well1
7308.0,1.3688,0.0505,well1
7308.5,0.3262,24,well1
7309.0,0.0153,0.0173,well1
7309.5,0.0002,0.0069,well1
7310.0,0.0,0.0024,well1
7310.5,0.0,0.0024,well1
7311.0,0.0,0.0024,well1
7311.5,0.0,0.0017,well1
7312.0,0.0,0.0011,well1
7312.5,0.0,0.0008,well1
7313.0,0.0,0.0005,well1
7313.5,0.0,0.0004,well1
7314.0,0.0,0.0003,well1
7314.5,0.0,0.0004,well1
7315.0,0.0,0.0005,well1
7315.5,0.0,0.0004,well1
7316.0,0.0,0.0004,well1
7316.5,0.0,0.0009,well1
7317.0,0.0,0.0018,well1
7317.5,0.0,0.0028,well1
7318.0,0.0001,0.0044,well1
7318.5,0.0,0.0024,well1
7319.0,0.0,0.0013,well1
7319.5,0.0,3,well1
7320.0,0.0001,0.0068,well1
7320.5,0.0,0.0029,well1
7321.0,0.0,0.0011,well1
7321.5,0.0,0.0004,well1
7322.0,0.0,0.0001,well1
7322.5,0.0,0.0001,well1
7323.0,0.0,0.0,well1
7323.5,0.0,0.0001,well1
7324.0,0.0,0.0001,well1
7324.5,0.0,0.0001,well1
7325.0,0.0,0.0,well1
7325.5,0.0,0.0001,well1
7326.0,0.0,0.0001,well1
7326.5,0.0,0.0002,well1
7327.0,0.0,0.0007,well1
7327.5,122,8,well1
7328.0,2.1804,0.0457,well1
7328.5,8.2487,0.0821,well1
7329.0,1.3862,15,well1
7329.5,1052,0.0498,well1
7330.0,0.1283,0.0111,well1
